,Name,Logo,Industry Type,Headquarters,No. of Locations,Highly Rated For,Critically Rated For,Rating,Review Count,Interview Count,Salaries Count,Job Count
360,Movate,https://static.ambitionbox.com/alpha/company/photos/logos/movate.jpg,IT Services & Consulting,Chennai ,33,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Company Culture']",3.3,0,265,0,69
361,Himalaya Wellness,https://static.ambitionbox.com/alpha/company/photos/logos/the-himalaya-drug-company.jpg,Bangalore / Bengaluru +210 other locations,Chennai ,33,"['Company Culture', 'Work Life Balance', 'Job Security']",['Promotions / Appraisal'],4.1,0,118,0,8
362,Taj Hotels Resorts and Palaces,https://static.ambitionbox.com/alpha/company/photos/logos/taj-hotels-resorts-and-palaces.jpg,Mumbai +102 other locations,Chennai ,33,"['Job Security', 'Company Culture', 'Skill Development / Learning']",[],4.2,0,128,0,1
363,Sonalika Tractors,https://static.ambitionbox.com/alpha/company/photos/logos/sonalika-tractors.jpg,Automobile,Hoshiarpur ,163,['Job Security'],"['Company Culture', 'Promotions / Appraisal', 'Work Life Balance']",3.7,0,135,0,0
364,Huawei Technologies,https://static.ambitionbox.com/alpha/company/photos/logos/huawei-technologies.jpg,Telecom,Bangalore / Bengaluru ,103,"['Salary & Benefits', 'Skill Development / Learning']",['Job Security'],4.0,0,116,0,3
365,Kansai Nerolac Paints,https://static.ambitionbox.com/alpha/company/photos/logos/kansai-nerolac-paints.jpg,Chemicals,Mumbai ,203,['Job Security'],"['Promotions / Appraisal', 'Company Culture', 'Work Satisfaction']",3.8,0,158,0,4
366,Ajanta Pharma,https://static.ambitionbox.com/alpha/company/photos/logos/ajanta-pharma.jpg,Pharma,Mumbai ,110,"['Job Security', 'Company Culture', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,126,0,22
367,V-Mart,https://static.ambitionbox.com/alpha/company/photos/logos/v-mart-retail-ltd.jpg,Retail,Gurgaon / Gurugram ,261,"['Skill Development / Learning', 'Job Security', 'Company Culture']",[],4.1,0,156,0,23
368,Datamatics Global Services,https://static.ambitionbox.com/alpha/company/photos/logos/datamatics-global-services.jpg,IT Services & Consulting,Mumbai ,30,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Work Satisfaction']",3.4,0,168,0,74
369,Foundever,https://static.ambitionbox.com/alpha/company/photos/logos/sitel.jpg,BPO,Hyderabad / Secunderabad ,18,[],"['Promotions / Appraisal', 'Salary & Benefits', 'Work Satisfaction']",3.6,0,155,0,85
370,Lava International,https://static.ambitionbox.com/alpha/company/photos/logos/lava-international-152677.jpg,Consumer Electronics & Appliances,Noida ,217,"['Company Culture', 'Skill Development / Learning', 'Work Life Balance']",['Promotions / Appraisal'],4.0,0,72,0,10
